YEAR,MONTH,DAY,HOUR,MINUTE,CAUSE,VALIDITY,FOCAL_DEPTH,PRIMARY_MAGNITUDE,REGION_CODE,COUNTRY,Contenient,LOCATION,LATITUDE,LONGITUDE,MAXIMUM_HEIGHT,MAGNITUDE_ABE,MAGNITUDE_IIDA,INTENSITY_SOLOVIEV,WARNING_STATUS,MISSING,MISSING_ESTIMATE,INJURIES,INJURY_ESTIMATE,FATALITIES,FATALITY_ESTIMATE,DAMAGE_MILLIONS_DOLLARS,DAMAGE_ESTIMATE,HOUSES_DAMAGED,HOUSE_DAMAGE_ESTIMATE,HOUSES_DESTROYED,HOUSE_DESTRUCTION_ESTIMATE,ALL_MISSING,MISSING_TOTAL,ALL_INJURIES,INJURY_TOTAL,ALL_FATALITIES,FATALITY_TOTAL,ALL_DAMAGE_MILLIONS,DAMAGE_TOTAL,ALL_HOUSES_DAMAGED,HOUSE_DAMAGE_TOTAL,ALL_HOUSES_DESTROYED,HOUSE_DESTRUCTION_TOTAL
2004,11,21,11,41,1,4,14,6.3,74,GUADELOUPE (FRENCH TERRITORY),North America,"BASSE-TERRE, LES SAINTES",15.679,-61.706,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,22,20,26,1,4,10,7.1,81,NEW ZEALAND,Australia,PUYSEGUR TRENCH,-46.676,164.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,28,18,32,1,4,39,7,85,JAPAN,Asia,HOKKAIDO ISLAND,43.006,145.119,0.12,,,,,,,,,,,,,,,,,,,24,1,,,,2,,1,,
2004,12,23,14,59,1,4,10,8.1,81,AUSTRALIA,Australia,MACQUARIE ISLAND,-49.312,161.345,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,26,0,58,1,4,30,9.1,60,INDONESIA,Asia,OFF W. COAST OF SUMATRA,3.316,95.854,50.9,,,,4,,3,,,227899,4,10000,4,,,,3,,,,3,227899,4,10000,4,,,,3
2005,1,19,6,11,1,4,28,6.6,85,JAPAN,Asia,E. HONSHU ISLAND,34.064,141.491,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,14,18,5,1,3,12,5.8,74,GUADELOUPE (FRENCH TERRITORY),North America,DOMINICA PASSAGE,15.775,-61.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,3,28,16,9,1,4,30,8.7,60,INDONESIA,Asia,INDONESIA,2.085,97.108,4.2,,,,,,,,,10,1,,1,,,,,,,340,3,1313,4,,4,,,300,3
2005,4,10,10,29,1,4,19,6.7,60,INDONESIA,Asia,KEPULAUAN MENTAWAI,-1.644,99.607,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,6,15,2,50,1,4,10,7.2,88,USA,North America,N. CALIFORNIA,41.301,-125.97,0.1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
